MOVIE_ID,NAME,ALIAS,ACTORS,COVER,DIRECTORS,DOUBAN_SCORE,DOUBAN_VOTES,GENRES,IMDB_ID,LANGUAGES,MINS,OFFICIAL_SITE,REGIONS,RELEASE_DATE,SLUG,STORYLINE,TAGS,YEAR,ACTOR_IDS,DIRECTOR_IDS
3249999,林肯公园：革命之路,革命之路 / 革命之路：米尔顿凯恩斯现场,查斯特·班宁顿/罗伯·波顿/布莱德·德尔森/菲尼克斯·法雷尔/约瑟夫·韩/麦克·信田,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2193776724.jpg,,9.4,1563.0,歌舞,tt1305710,英语,86.0,http://www.linkinpark.com,美国,2008-11-25,aEvEfMIRe,01.One Step Closer,LinkinPark/live/美国/演唱会/音乐/2008/rock/現場,2008.0,查斯特·班宁顿:1032338|罗伯·波顿:1005272|布莱德·德尔森:1037326|菲尼克斯·法雷尔:1005493|约瑟夫·韩:1032717|麦克·信田:1005117,
26667648,九纹龙史进之除恶史家庄,,朱晓辉/淳于珊珊/耿懿,,刘信义,6.4,105.0,剧情/武侠,,汉语普通话,94.0,,中国大陆,,U3Vv6mb6e,史家庄少庄主史进为人正义，喜爱练武，曾拜过七个师傅，每拜一师，会在身上纹取一条青龙。史进父亲怕他惹事，帮他寻谋了巡检一职，谁料史进为执行任务，却没能在父亲死前见上他最后一面，反而在归途中和少华山的陈达交恶，定下约战之期。,九纹龙史进之除恶史家庄/水浒/九纹龙/武侠/动作/史进/中国/中国电影,2015.0,朱晓辉:1349420|淳于珊珊:1040352|耿懿:1341681,刘信义:1305426
1477536,婼玛的十七岁,,李敏/杨志刚,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2167420765.jpg,章家瑞,7.0,518.0,剧情,tt0398388,汉语普通话 / 哈尼语 / 英语 / 云南方言 / 日语,88.0,,中国大陆,2003-08-31,Q27IfMmzb,故事发生在云南红河岸边的哀牢山中。哈尼族少女婼玛（李敏 饰）与年迈的奶奶相依为命，从未走出过大山。这天，从城里打工回来的伙伴们向她讲述了城市文明的点点滴滴，让婼玛心中荡起不小的涟渏。阿明（杨志刚 饰）在镇上开了一家照像馆，他发现游客很喜欢和爱笑的婼玛合影，感觉商机来了，他把身穿哈尼服装的婼玛带到风景如画的梯田旁，专们与观光客合影，自已则捞取了大笔的合影费。阿明允诺挣够了钱带婼玛进城座观光电梯，善良的婼玛向往外面的世界，也在不知不觉中爱上了阿明。阿明因拖欠房租被房东赶走，临行前单纯的婼玛提出跟他进城，不料阿明只是把她当成了利用的工具......,章家瑞/云南/哈尼族/中国/中国电影/民俗/文艺/大陆,2003.0,李敏:1307477|杨志刚:1274813,章家瑞:1307501
7052774,2011全美音乐大奖,,,,,6.8,285.0,音乐,tt2123143,英语,120.0,http://abc.go.com,美国,2011-11-20,aqyrEJnFf,,美国/音乐/颁奖礼/颁奖典礼/2011/AMA/Live/ABC,2011.0,,
1299558,第三类外星人,魔卵,玛瑞·亚达波Maryam d'Abo,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2509610395.jpg,,6.0,174.0,科幻/恐怖,tt0086610,英语,81.0,,英国,1983-12-26,vaUB2bEJf,被第四类接触掳走的老豆化作畸变怪狗归家，寄生妇孺，石屎森林异象丛生：摇摇锤小丑，割喉溜溜球，巨大化玩具兵坦克黑豹轰杀食人，被害者感染作茧产卵……英式怪奇cult片，尺度比好莱坞大不少啊,恐怖/科幻/外星人/魔卵/Cult/英国/B级片/1980s,1983.0,Philip Sayer:|Bernice Stegers:|玛瑞·亚达波Maryam d'Abo:,
26815265,欢迎来到马尔利戈蒙,,马克·泽戈/鲁费斯 Rufus/乔纳森·朗贝尔,,,7.5,133.0,剧情/喜剧/传记,tt5555502,法语,96.0,,法国,2016-06-08,VJZ3baiNe,"En 1975, Seyolo Zantoko, médecin fraichement diplômé originaire de Kinshasa, saisit l’opportunité d’un poste de médecin de campagne dans un petit village français.",法国/喜剧/法国电影/传记/社会/种族/融入/法影,2016.0,马克·泽戈:1348841|Aïssa Maïga:|Kamini Zantoko:|Médina Diarra:|鲁费斯 Rufus:|乔纳森·朗贝尔:1105505|Jean-Benoît Ugeux:,
2213746,接触,红杏出墙,马克斯·冯·叙多夫/毕比·安德松/埃利奥特·古尔德,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2545199004.jpg,英格玛·伯格曼,6.6,88.0,剧情,tt0066826,瑞典语 / 英语,115.0,,美国 / 瑞典,1971-07-14,byNYfyraa,"A seemingly happy Swedish housewife and mother begins an adulterous affair with a foreign archaeologist who is working near her home. But he is an emotionally scarred man, a Jewish survivor from a concentration camp who found refuge in the U.S.,and, consequently, their relationship will be painfully difficult.",英格玛·伯格曼/瑞典/Ingmar_Bergman/1971/爱情/IngmarBergman/1970s/瑞典电影,1971.0,马克斯·冯·叙多夫:1002675|毕比·安德松:1041278|埃利奥特·古尔德:1049658,英格玛·伯格曼:1054526
1300348,铁拳无敌,,尚格·云顿/哈里森·佩吉/丽莎·帕里坎/艾什莉·约翰逊/布莱恩·汤普森,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2358695332.jpg,谢尔登 莱提奇,6.7,211.0,剧情/动作/运动,tt0100029,英语,105.0,,美国,1990-03-01,QAeiNQQ2b,驻守沙漠军人里昂，惊闻兄长被人陷害烧伤，激愤之余，决定回美见亲兄最后一面。岂料到达后，噩号传来，为暗助兄嫂还清医院欠账，里昂毅然参与连场血腥血雨的地下拳赛，战战惊心。,尚格·云顿/动作/美国/1990/美国电影/动作片/铁拳无敌/我看过的英语电影,1990.0,尚格·云顿:1027149|哈里森·佩吉:1133889|Deborah Rennard:1141760|丽莎·帕里坎:1009623|艾什莉·约翰逊:1027120|布莱恩·汤普森:1049671|Voyo Goric:|Michel Qissi:1147386|George McDaniel:|Eric Karson:|Ash Adams:1005211|William T. Amos:|Roz Bosley:|Dennis Rucker:|Billy Blanks:1066395,谢尔登 莱提奇:1014453
2127536,我的朋友小海豚,,,,戴铁郎,8.2,542.0,动画/短片,,汉语普通话,17.0,,中国大陆,,RYvE3NAQe,少年水手看到一头小海豚伏在离世的母亲身边哭泣时，跟着难过起来，他决定给小海豚温暖。小海豚认生先是不敢靠近他，但慢慢和他成了朋友。随后，他们跳入了大海深处，恣意畅游了一番。,国产动画/动画/童年回忆/童年/中国/中国动画/经典/我的朋友小海豚,1980.0,,戴铁郎:1316866
3365393,巨根传说,,大杉涟/長友達也/野上正义,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2524379425.jpg,中村幻儿,5.8,101.0,剧情/喜剧,tt0261786,日语,57.0,http://www.imdb.com/title/tt0261786/,日本,,m7IZvUn7e,Product Description,同性/日本/同志/日本电影/没看过/情色/电影/少年,1983.0,大杉涟:1134227|長友達也:|野上正义:1033913,中村幻儿:1347927
